2015-09-02 21:21:32,989 [17] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [P1976/T1/D2] [ScheduledTasks] Terminating (immediate)
2015-09-02 21:21:32,989 [17] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [P1976/T1/D2] [ScheduledTasks] Cancelling tasks
2015-09-02 21:21:33,092 [17] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [P1976/T1/D2] [ScheduledTasks] Tasks cancelled, terminated
2015-09-02 21:21:33,092 [17] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [P1976/T1/D2] [LogScrubber] Terminating (immediate)
2015-09-02 21:21:33,092 [17] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [P1976/T1/D2] [LogScrubber] Cancelling tasks
2015-09-02 21:21:33,201 [17] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [P1976/T1/D2] [LogScrubber] Tasks cancelled, terminated
2015-09-02 21:21:33,201 [17] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [P1976/T1/D2] [ScheduledPublishing] Terminating (immediate)
2015-09-02 21:21:33,201 [17] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [P1976/T1/D2] [ScheduledPublishing] Cancelling tasks
2015-09-02 21:21:33,310 [17] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [P1976/T1/D2] [ScheduledPublishing] Tasks cancelled, terminated
2015-09-02 21:21:33,310 [17] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [P1976/T1/D2] [KeepAlive] Terminating (immediate)
2015-09-02 21:21:33,310 [17] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [P1976/T1/D2] [KeepAlive] Cancelling tasks
2015-09-02 21:21:33,420 [17] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [P1976/T1/D2] [KeepAlive] Tasks cancelled, terminated
2015-09-02 21:21:33,420 [17] INFO  Umbraco.Core.UmbracoApplicationBase - [P1976/T1/D2] Application shutdown. Reason: BuildManagerChange
2015-09-02 21:22:11,558 [19] INFO  umbraco.BusinessLogic.Log - [P1976/T1/D3] Log scrubbed.  Removed all items older than 2015-07-04 21:22:11
